Concrete_Strength(MPa) Transversel_y_(MPa) Longitudinal_C_y_(MPa) Longitudinal_I_y_(MPa) Width_(mm) Depth_(mm) Length_Inflection_(mm) Length_Measured_(mm) Axial_Load_(kN) Longitudinal_reinforcement_Ratio Transverse_reinforcement_Ratio Span-to-depth_Ratio Axial_Load_Ratio Failure_Type
115.8	328.4	399.6	399.6	200	200	500	500	1959	0.038	0.016	2.5	0.423	Flexure
115.8	792.3	399.6	399.6	200	200	500	500	1959	0.038	0.016	2.5	0.423	Flexure
25.8	426	361	361	200	200	300	300	265	0.0213	0.009	1.5	0.257	Flexure-Shear
25.8	426	361	361	200	200	300	300	636	0.0213	0.009	1.5	0.616	Flexure-Shear
99.5	774	379	379	250	250	500	500	2176	0.0243	0.005	2	0.35	Flexure
99.5	774	379	379	250	250	500	500	2176	0.0243	0.007	2	0.35	Flexure
99.5	344	379	379	250	250	500	500	2176	0.0243	0.006	2	0.35	Flexure
99.5	1126	379	379	250	250	500	500	2176	0.0243	0.005	2	0.35	Flexure
99.5	774	379	379	250	250	500	500	2176	0.0243	0.005	2	0.35	Flexure
99.5	857	379	379	250	250	500	500	2176	0.0243	0.005	2	0.35	Flexure
99.5	774	339	339	250	250	500	500	2176	0.0181	0.005	2	0.35	Flexure
46.3	414	441	441	278	278	323	323	2632	0.0412	0.009	1.16	0.736	Flexure-Shear
34.7	345	496	496	152	305	876	876	189	0.0245	0.003	2.87	0.117	Flexure-Shear
34.7	345	496	496	152	305	876	876	189	0.0245	0.003	2.87	0.117	Flexure-Shear
26.1	345	496	496	152	305	876	876	178	0.0245	0.005	2.87	0.147	Flexure-Shear
26.1	345	496	496	152	305	876	876	178	0.0245	0.005	2.87	0.147	Flexure-Shear
33.6	345	496	496	152	305	876	876	178	0.0245	0.003	2.87	0.147	Flexure-Shear
33.6	345	496	496	178	305	876	876	178	0.0245	0.003	2.87	0.147	Flexure-Shear
33.6	345	496	496	152	305	876	876	111	0.0245	0.003	2.87	0.071	Shear
33.6	345	496	496	152	305	876	876	111	0.0245	0.003	2.87	0.071	Flexure-Shear
33.4	345	496	496	152	305	876	876	178	0.0245	0.007	2.87	0.115	Flexure-Shear
33.4	345	496	496	152	305	876	876	178	0.0245	0.007	2.87	0.115	Flexure-Shear
33.5	317	496	496	152	305	876	876	178	0.0245	0.015	2.87	0.115	Flexure-Shear
33.5	317	496	496	152	305	876	876	178	0.0245	0.015	2.87	0.115	Flexure-Shear
33.5	317	496	496	152	305	876	876	178	0.0245	0.009	2.87	0.115	Flexure-Shear
33.5	317	496	496	152	305	876	876	178	0.0245	0.009	2.87	0.115	Flexure-Shear
29.1	275	535	367	367	578	305	305	267	0.0163	0.015	5.5	0.099	Flexure
